CICLO,CP,LOJA,REGIONAL,UF,CANAL,SKU,PRODUTO,UN DO MATERIAL,CATEGORIA,SUB CATEGORIA,CAMPANHA,MARCA,COLABORE,VOLUME PEDIDO SUGESTÃO,VOLUME PEDIDO COLOCADO,GIRO (%),VOLUME PEDIDO FATURADO,LOCAL
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,51231,CBEM SAB BARRA CEREJA LIVRE V2 2x80g,BOT,SABONETE CORPO,CORPO,BOLETO PROMOCIONAL BOT C13'26,CUIDE-SE BEM,Não,14,14,35.71%,14,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,51231,CBEM SAB BARRA CEREJA LIVRE V2 2x80g,BOT,SABONETE CORPO,CORPO,BOLETO PROMOCIONAL BOT C13'26,CUIDE-SE BEM,Não,42,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,51231,CBEM SAB BARRA CEREJA LIVRE V2 2x80g,BOT,SABONETE CORPO,CORPO,BOLETO PROMOCIONAL BOT C13'26,CUIDE-SE BEM,Não,70,10,60.00%,10,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,51231,CBEM SAB BARRA CEREJA LIVRE V2 2x80g,BOT,SABONETE CORPO,CORPO,BOLETO PROMOCIONAL BOT C13'26,CUIDE-SE BEM,Não,49,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,52638,MAKE B MASC CILIO 4K PANORAMIC 10g V2,BOT,MAQUIAGEM,MAQUIAGEM OLHOS,DATAS IGUAIS,MAKE B.,Não,4,7,0.00%,7,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,52638,MAKE B MASC CILIO 4K PANORAMIC 10g V2,BOT,MAQUIAGEM,MAQUIAGEM OLHOS,DATAS IGUAIS,MAKE B.,Não,3,7,14.29%,7,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,52638,MAKE B MASC CILIO 4K PANORAMIC 10g V2,BOT,MAQUIAGEM,MAQUIAGEM OLHOS,DATAS IGUAIS,MAKE B.,Não,3,8,12.50%,8,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,52638,MAKE B MASC CILIO 4K PANORAMIC 10g V2,BOT,MAQUIAGEM,MAQUIAGEM OLHOS,DATAS IGUAIS,MAKE B.,Não,5,9,0.00%,9,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,52638,MAKE B MASC CILIO 4K PANORAMIC 10g V2,BOT,MAQUIAGEM,MAQUIAGEM OLHOS,DATAS IGUAIS,MAKE B.,Não,3,5,0.00%,5,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,52638,MAKE B MASC CILIO 4K PANORAMIC 10g V2,BOT,MAQUIAGEM,MAQUIAGEM OLHOS,DATAS IGUAIS,MAKE B.,Não,4,7,14.29%,7,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,52639,ESTJ FLORATTA ROSE REG/21 V2,BOT,GIFTS,ESTOJO REGULAR,DIAS DE PRESENTE_C13'26,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,52639,ESTJ FLORATTA ROSE REG/21 V2,BOT,GIFTS,ESTOJO REGULAR,DIAS DE PRESENTE_C13'26,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,52639,ESTJ FLORATTA ROSE REG/21 V2,BOT,GIFTS,ESTOJO REGULAR,DIAS DE PRESENTE_C13'26,FLORATTA,Não,3,1,100.00%,1,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,52639,ESTJ FLORATTA ROSE REG/21 V2,BOT,GIFTS,ESTOJO REGULAR,DIAS DE PRESENTE_C13'26,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,52639,ESTJ FLORATTA ROSE REG/21 V2,BOT,GIFTS,ESTOJO REGULAR,DIAS DE PRESENTE_C13'26,FLORATTA,Não,3,1,0.00%,1,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,52639,ESTJ FLORATTA ROSE REG/21 V2,BOT,GIFTS,ESTOJO REGULAR,DIAS DE PRESENTE_C13'26,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,53847,MAKE B PINCEL OLHOS DUPLO PS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,0.00%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,53847,MAKE B PINCEL OLHOS DUPLO PS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,33.33%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,53847,MAKE B PINCEL OLHOS DUPLO PS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,5,5,0.00%,5,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,53847,MAKE B PINCEL OLHOS DUPLO PS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,5,5,0.00%,5,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,53847,MAKE B PINCEL OLHOS DUPLO PS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,8,8,0.00%,8,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,53847,MAKE B PINCEL OLHOS DUPLO PS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,8,8,0.00%,8,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,53910,MAKE B PINCEL P/BASE ABS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,0.00%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,53910,MAKE B PINCEL P/BASE ABS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,33.33%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,53910,MAKE B PINCEL P/BASE ABS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,33.33%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,53910,MAKE B PINCEL P/BASE ABS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,0.00%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,53910,MAKE B PINCEL P/BASE ABS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,0.00%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,53910,MAKE B PINCEL P/BASE ABS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,0.00%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,53936,MAKE B PINCEL P/BASE FIBRAS DUPLAS ABS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,0.00%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,53936,MAKE B PINCEL P/BASE FIBRAS DUPLAS ABS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,0.00%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,53936,MAKE B PINCEL P/BASE FIBRAS DUPLAS ABS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,0.00%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,53936,MAKE B PINCEL P/BASE FIBRAS DUPLAS ABS,BOT,ACESSÓRIOS,PINCÉIS,BOLETO PROMOCIONAL BOT C13'26,MAKE B.,Não,3,3,0.00%,1,INTERIOR
