Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033222490;FREE DES COL BOTICOLL 100ml V4;1,000;174,90;174,90;29,48;0,00;0,00;145,42;83,14;493,28;6,87;37,57;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033860814;BOTICOLL PORTINARI D/COL MEMORIAS 100ml;1,000;189,90;189,90;69,54;0,00;0,00;120,36;63,38;173,08;5,69;43,26;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033902385;ESTJ MALBEC PAIS/26;1,000;233,47;233,47;117,67;0,00;0,00;115,80;49,60;98,41;5,47;48,73;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033556489;MEN DES COL NBA 100ml;1,000;179,90;179,90;70,89;0,00;0,00;109,01;60,59;153,77;5,15;53,88;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033197347;THATY DES COL BOTICOLL 100ML;1,000;167,76;167,76;60,82;0,00;0,00;106,94;63,75;175,83;5,05;58,93;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033589906;MAKE B BASE LIQ RETIN 3 H 215Q 26g;1,000;131,53;131,53;46,42;0,00;0,00;85,11;64,71;183,35;4,02;62,95;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033490394;ZAAD DES COL BDY SPLSH 200ml;1,000;124,90;124,90;53,46;0,00;0,00;71,44;57,20;133,63;3,38;66,33;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033897902;CBEM DES COL BDY SPLSH LAVANDINHA 200ml;1,000;80,47;80,47;19,50;0,00;0,00;60,97;75,77;312,67;2,88;69,21;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033520183;BOTI BABY SHAMP V2 400ml;1,000;68,90;68,90;14,10;0,00;0,00;54,80;79,54;388,65;2,59;71,80;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033482801;NSPA DES COL BDY SPLSH AMEI/NEG 200ml V2;1,000;91,60;91,60;42,28;0,00;0,00;49,32;53,84;116,65;2,33;74,13;A;;
