Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033511631;CBEM DES COL BDY SPLSH R/ALG V3 200ml;1,000;73,33;73,33;18,31;0,00;0,00;55,02;75,03;300,49;3,58;86,52;B;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033524686;BOTIK GEL LIM FAC MIC AC MAN/SAL 50g PRM;3,000;46,18;15,39;0,00;0,00;0,00;46,18;100,00;0,00;3,00;89,52;B;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033890309;MAKE B CORRET LIQ HYAL 225N 68ml;1,000;65,00;65,00;23,31;0,00;0,00;41,69;64,14;178,85;2,71;92,23;B;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033962938;GLAMOUR LOC DES HID CPO INTENSE 200ml;1,000;62,91;62,91;24,42;0,00;0,00;38,49;61,18;157,62;2,50;94,74;B;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033957989;NSPA CR PERF DES HID CP AMEIX/INT 180ml;1,000;50,39;50,39;25,82;0,00;0,00;24,57;48,76;95,16;1,60;96,33;C;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033511655;CBEM SAB BARRA ROSA/ALGODAO 4x80g;1,000;35,71;35,71;13,90;0,00;0,00;21,81;61,08;156,91;1,42;97,75;C;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033578337;NSPA SAB LIQ PERF CPO CER/ROUGE 250ml;1,000;39,90;39,90;21,22;0,00;0,00;18,68;46,82;88,03;1,21;98,97;C;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033945382;NSPA SAB BARRA CORP AMEI/NEG V4 2x90g;1,000;27,44;27,44;8,93;0,00;0,00;18,51;67,46;207,28;1,20;100,17;C;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033512294;CBEM DES ANTIT ROLL ON R/ALG V3 55ml;1,000;29,90;29,90;13,85;0,00;0,00;16,05;53,68;115,88;1,04;101,21;C;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033511662;CBEM SAB BARRA ROSA/ALGODAO V8 2x80g;1,000;18,26;18,26;7,27;0,00;0,00;10,99;60,19;151,17;0,71;101,93;C;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033946310;BOTIK CR NUTR FIR ROS/PESC R/SIL PRM 10g;1,000;17,48;17,48;7,62;0,00;0,00;9,86;56,41;129,40;0,64;102,57;C;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033504497;INTENSE HID LAB BY CUID CER/L CER/V 62g;1,000;25,61;25,61;15,89;0,00;0,00;9,72;37,95;61,17;0,63;103,20;C;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033908219;SACOLA P BOTICARIO INST/25;1,000;0,01;0,01;1,31;0,00;0,00;-1,30;-13000,00;-99,24;-0,08;103,12;C;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033908226;SACOLA M BOTICARIO INST/25;4,000;0,04;0,01;6,24;0,00;0,00;-6,20;-15500,00;-99,36;-0,40;102,72;C;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033508822;CBEM SAB BARRA BOA NOITE V2 4x80g;1,000;0,01;0,01;13,91;0,00;0,00;-13,90;-139000,00;-99,93;-0,90;101,81;C;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033486724;NSPA LOC DES HID CPO AMEI/NEG 200ml V4;1,000;0,01;0,01;27,86;0,00;0,00;-27,85;-278500,00;-99,96;-1,81;100,00;C;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033856060;INSENSATEZ DES COL V4 100ml;3,000;251,07;83,69;99,09;0,00;0,00;151,98;60,53;153,38;24,24;24,24;A;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033843879;MALBEC DES COL V6 100ml;1,000;160,32;160,32;83,50;0,00;0,00;76,82;47,92;92,00;12,25;36,49;A;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033945399;LILY HAIR MIST ACETINADO 50ml;1,000;123,46;123,46;54,65;0,00;0,00;68,81;55,73;125,91;10,97;47,46;A;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033878222;MAKE B PLT BL/FUS/CLIP BRWN/BL MINI 25g;1,000;87,14;87,14;19,84;0,00;0,00;67,30;77,23;339,21;10,73;58,20;A;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033820528;NSPA DES COL BODY SPLASH JAS/SAMB 200ml;1,000;83,54;83,54;20,15;0,00;0,00;63,39;75,88;314,59;10,11;68,31;A;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033524686;BOTIK GEL LIM FAC MIC AC MAN/SAL 50g PRM;4,000;60,03;15,01;0,00;0,00;0,00;60,03;100,00;0,00;9,57;77,88;A;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033720521;EGEO MOUS CREM HID DES CPO D MER 250g V6;1,000;79,90;79,90;30,81;0,00;0,00;49,09;61,44;159,33;7,83;85,71;B;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033585663;MAKE B CORRET LIQ FAC EFFECT 10 V2 57ml;1,000;65,64;65,64;22,35;0,00;0,00;43,29;65,95;193,69;6,90;92,61;B;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033897827;MALBEC ESPUM P/BARB SENSIT CUID V4 200ml;1,000;70,33;70,33;33,60;0,00;0,00;36,73;52,23;109,32;5,86;98,47;C;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033706938;SOPHIE LOC HID CPO 200ml;1,000;46,17;46,17;17,95;0,00;0,00;28,22;61,12;157,21;4,50;102,97;C;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033486571;EGEO DES ANTIT AEROSSOL DOLCE 75g V9;1,000;27,90;27,90;17,75;0,00;0,00;10,15;36,38;57,18;1,62;104,59;C;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033974368;CAIXA LACO M BOTI PAIS 2026 UNIT;1,000;10,04;10,04;0,00;0,00;0,00;10,04;100,00;0,00;1,60;106,19;C;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033908219;SACOLA P BOTICARIO INST/25;2,000;0,02;0,01;2,62;0,00;0,00;-2,60;-13000,00;-99,24;-0,41;105,78;C;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033908226;SACOLA M BOTICARIO INST/25;2,000;0,02;0,01;3,12;0,00;0,00;-3,10;-15500,00;-99,36;-0,49;105,28;C;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033889716;LIZ DES COL D ESSENCE PRM 10ml;1,000;0,01;0,01;7,11;0,00;0,00;-7,10;-71000,00;-99,86;-1,13;104,15;C;;
31/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033486724;NSPA LOC DES HID CPO AMEI/NEG 200ml V4;1,000;0,01;0,01;26,03;0,00;0,00;-26,02;-260200,00;-99,96;-4,15;100,00;C;;
31/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033483075;FLORATTA DES COL F/SECRET V3 75ml;2,000;315,20;157,60;136,96;0,00;0,00;178,24;56,55;130,14;5,08;5,08;A;;
