CICLO,CP,LOJA,REGIONAL,UF,CANAL,SKU,PRODUTO,UN DO MATERIAL,CATEGORIA,SUB CATEGORIA,CAMPANHA,MARCA,COLABORE,VOLUME PEDIDO SUGESTÃO,VOLUME PEDIDO COLOCADO,GIRO (%),VOLUME PEDIDO FATURADO,LOCAL
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,48315,FLORATTA DES COL GOLD V3 75ml,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,FLORATTA,Não,3,8,12.50%,8,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,48365,COFFEE DES COL MAN SEDUC 100ml V4,BOT,PERFUMARIA,PERFUMARIA MASCULINA,OMNICHANNEL C202612,COFFEE,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,48365,COFFEE DES COL MAN SEDUC 100ml V4,BOT,PERFUMARIA,PERFUMARIA MASCULINA,OMNICHANNEL C202612,COFFEE,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48365,COFFEE DES COL MAN SEDUC 100ml V4,BOT,PERFUMARIA,PERFUMARIA MASCULINA,OMNICHANNEL C202612,COFFEE,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,48365,COFFEE DES COL MAN SEDUC 100ml V4,BOT,PERFUMARIA,PERFUMARIA MASCULINA,OMNICHANNEL C202612,COFFEE,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,48365,COFFEE DES COL MAN SEDUC 100ml V4,BOT,PERFUMARIA,PERFUMARIA MASCULINA,OMNICHANNEL C202612,COFFEE,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,48508,LILY OL PRODIG ACET MULTIF 50ml,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,OMNICHANNEL C202612,ESSENCE,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,48508,LILY OL PRODIG ACET MULTIF 50ml,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,OMNICHANNEL C202612,ESSENCE,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,48508,LILY OL PRODIG ACET MULTIF 50ml,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,OMNICHANNEL C202612,ESSENCE,Não,3,3,33.33%,3,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,48508,LILY OL PRODIG ACET MULTIF 50ml,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,OMNICHANNEL C202612,ESSENCE,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48508,LILY OL PRODIG ACET MULTIF 50ml,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,OMNICHANNEL C202612,ESSENCE,Não,3,5,0.00%,5,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,48634,DREAM DES COL SPLSH AMOR NO AR 200ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,DREAM,Não,3,8,100.00%,8,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,48634,DREAM DES COL SPLSH AMOR NO AR 200ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,DREAM,Não,3,4,275.00%,4,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48634,DREAM DES COL SPLSH AMOR NO AR 200ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,DREAM,Não,3,6,133.33%,6,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,48634,DREAM DES COL SPLSH AMOR NO AR 200ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,DREAM,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,48634,DREAM DES COL SPLSH AMOR NO AR 200ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,DREAM,Não,3,4,250.00%,4,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,48785,MALBEC DES BDY SPR 100ml V4 PCK,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,MALBEC,Não,3,5,80.00%,5,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48785,MALBEC DES BDY SPR 100ml V4 PCK,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,MALBEC,Não,3,20,45.00%,20,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,48785,MALBEC DES BDY SPR 100ml V4 PCK,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,MALBEC,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,48785,MALBEC DES BDY SPR 100ml V4 PCK,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,MALBEC,Não,3,10,30.00%,10,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,48785,MALBEC DES BDY SPR 100ml V4 PCK,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,MALBEC,Não,3,5,40.00%,5,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48790,REFIL MALBEC DES BDY SPR REG 100ml PK V5,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,MALBEC,Não,3,5,0.00%,5,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,48790,REFIL MALBEC DES BDY SPR REG 100ml PK V5,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,MALBEC,Não,3,0,0.00%,0,INTERIOR
